stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,44.95,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,13.91,2.14,1.07,0,1.07,0,0,0
21Day,1.34,2.68,0,1.34,0,1.34,1.34,2.68,1.34,21.42,2.68,0,0,0,0,0,0
3Month,0.32,0.32,0,0,0,0.64,0.32,0,0,0.32,0.32,0,0,0,0.64,0,0.32
22Month,1.09,1.09,0.55,0.55,3.28,0.55,0,0,0.55,0,0,0,0.55,0,0.55,0.55,0
