stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0
3Month,0.32,0.32,0.32,0,0.32,0.32
