stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,1.07,0,0,0,1.07
21Day,0,4.02,0,0,1.34,1.34,0
3Month,0,0,0,0.96,0,0,0
22Month,0.55,0,0,2.19,0,0,0
