stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,291.8,48.19,0,0,0,1.34,0,0,0,4.02,0,6.69,0,0,0,0,2.68,16.06,0,1.34,0,0,0,5.35,0,0,0,0
3Month,0,1.28,0.32,782.92,0,0.64,1.28,28.16,66.23,5.76,16.64,1.6,5.44,4.16,6.72,0.32,0,0.96,8,0.32,0.32,39.67,1.92,31.99,15.36,0.64,0,0.32,0.64,3.84,12.8
22Month,0,0,0,26.24,0,0,1.09,1.64,4.37,0.55,2.73,0,8.2,12.57,3.28,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0
