stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,1.07,2.14,0,0,2.14,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0,0.32,0,0,1.6,0.32,0,0.96,0,0,0.32,0,0,0,0,0.64,0
22Month,0,0,0.55,0.55,0.55,20.23,0.55,1.09,0.55,0,0,1.09,0.55,0,0,0.55,0,0.55
