stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,14.98,1.07
21Day,0,0,0,0,0,0,0,0,0,0,0,9.37,1.34
22Month,6.01,1.09,3.83,0.55,0.55,0.55,1.64,0.55,0.55,0,0.55,1.64,0.55
