stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,54.56,0,0,0,0,1.07,5.35,1.07,0,2.14,0,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.96,1.28,0,0.32,0.32,0.32,38.71,0.64,1.6,0.32,3.2,0.64,0.96,0.32,0,0.32,0,0,0.32,0,0.32,0,0.32,0.32,0.32
22Month,0,2.19,0,1.09,0.55,0.55,2.19,0,77.62,0,1.09,1.09,1.09,0.55,0.55,0,2.73,0,0,0,0,1.09,0,0.55,0,0,0.55
