stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,77.64,8.17,0,93.99,4.09,0,0,0,8.17,0,0,0,0,20.43,28.6,44.95,106.25,0,0,73.56,15205.51,0,0,16.35,4.09,0,0,0,0,0,0,0
72hpf,49.21,4.28,0,20.33,4.28,51.35,0,3.21,0,0,0,1.07,0,5.35,68.47,8.56,39.58,4.28,3.21,956.39,3131.28,0,2.14,42.79,0,0,1065.51,1.07,3.21,6.42,0,0
21Day,6.69,4.02,5.35,44.17,0,48.19,2.68,1.34,0,8.03,0,8.03,16.06,4.02,18.74,6.69,32.12,1.34,12.05,473.84,1528.6,0,5.35,8.03,62.91,0,159.29,1.34,20.08,10.71,0,6.69
3Month,0,0,0,0.32,0,0,0,0.32,0,0.32,0.32,0,0.32,0,0.32,0,0,0,0,0,1.28,0,0,0,0,0.32,0,0,0,0,0.32,0
22Month,0,0,0,0.55,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0,0.55,2.73,0,0,0,0,0
