stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,192.06,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,5.35,2.14,2.14,0,0,0,0,0,1.07,0,0,0,0,2.14,14.98,2.14,5.35,1.07,1.07,0,657.92,51.35,4.28,2.14,12.84,0,0,33.16,1.07,0,0,0,0
21Day,5.35,4.02,14.72,5.35,6.69,0,2.68,0,1.34,0,0,0,0,6.69,0,0,8.03,1.34,18.74,1.34,12.05,0,475.18,37.48,6.69,9.37,2.68,16.06,0,6.69,2.68,2.68,1.34,0,0
3Month,0,0,2.88,0.32,0,0,0,0,0.64,0,0,7.68,1.28,0,1.28,0,0.32,0.32,0.96,0,0,0.32,0.32,0,1.92,0,0,0.64,0.96,0,0,0,0,2.24,0.96
22Month,1.09,0,4.37,0,0,0.55,0.55,1.64,1.09,1.09,0,29.52,1.64,0.55,2.19,0,0.55,0,3.28,1.64,1.09,0,1.09,0,4.37,1.64,0.55,0,1.09,0.55,0.55,0,0,0,0
