stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,11.77,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,9.37,0,0,0,1.34,0,0
3Month,0,2.24,0.32,0.32,5.76,0.64,0,1.92,0,0.64,0.64,0.96,0,0.32,0.32,0.32,0,0,0.64,0,0.64,0.96
22Month,0.55,1.09,0,1.09,50.84,1.09,2.73,3.28,0.55,1.09,1.09,2.19,1.09,0,0,0,0,0.55,0,0,0.55,1.09
