stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,8.17,424.99,0,0,4.09,0,0,0,0,0
72hpf,2.14,1.07,0,5.35,0,0,0,3.21,2.14,1.07,0,148.7,170.1,1.07,5.35,7.49,0,77.02,0,0,0
21Day,2.68,0,2.68,6.69,1.34,0,1.34,0,1.34,2.68,1.34,52.2,76.3,0,4.02,2.68,4.02,52.2,2.68,1.34,1.34
22Month,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
