stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,20.43,0,0,0,0,16.35,147.11,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,18.19,2.14,25.67,0,0,0,0,0,0,0,0,0,4.28,33.16,0,14.98,0,1.07,0,1.07,1593.99,64.19,0,0,19.26,0,0,8.56,0,0,2.14,0,0,0
21Day,9.37,1.34,9.37,1.34,20.08,0,0,0,0,0,1.34,1.34,5.35,1.34,4.02,16.06,2.68,38.82,0,0,2.68,0,630.45,10.71,2.68,1.34,22.76,13.39,0,1.34,1.34,5.35,2.68,0,0,2.68
3Month,0,0.96,2.88,0,0,0.32,0.32,1.6,0.32,0,7.36,0.96,0,2.24,0.32,1.6,2.56,5.44,0.32,0,0.32,0.32,14.4,0,0,0,0,1.28,40.31,0,0,0,0,0.32,12.48,0.96
22Month,0,1.09,3.28,0.55,0,0,0.55,4.92,1.09,0,38.27,1.64,0,4.37,0,0.55,1.09,4.37,1.09,0,0,0,17.49,0,0.55,0,0.55,0,16.95,6.01,0,0,0,0.55,0,0
