stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,1.07,0,0,0,0,0
3Month,1.6,7.36,0.64,7.68,0.32,1.6,0.96,87.99,0.64,0,0.96,0.64,0.32,0.32,0.96,0,0.32,0,0.32,0.32,0.32
22Month,2.73,1.09,0,5.47,0,2.19,0,49.75,0,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0
