stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,4.28,0,0,0,0
21Day,9.37,0,0,0,0,0,2.68,0,1.34,0,0
3Month,0.32,0.32,0,0.32,0.64,0,0.96,0,0,5.76,8.64
22Month,0.55,0,0.55,2.19,0,0,0,0,0,0,0
