stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,2.14,2.14,0,0
21Day,2.68,0,1.34,0,0,0,1.34,0,1.34,0,0,0
3Month,0.96,0.32,0.64,0.64,0.32,0.64,0,0.96,0,0,0.32,1.28
22Month,0.55,0,2.19,2.19,0,0,0,1.09,0,0,0,0
