stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,28.6,4.09,0,36.78,0,0,0,12.26,0,0,0,0,8.17,4.09,20.43,73.56,0,0,8.17,28.6,216.58,8.17,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,16.05,11.77,2.14,0,0,0,0,0
21Day,0,0,0,2.68,17.4,2.68,0,0,0,0,2.68,0,0,1.34,1.34,1.34,0,0,0,9.37,6.69,0,2.68,0,5.35,0,0
3Month,0,0,0.32,0.64,0,0,0,0,3.2,0.64,0,0.32,0,1.28,0.32,0,0,0,0,0,0,0,0,0.96,0,0.32,0.96
22Month,0.55,0,0.55,0.55,0,0,0.55,0,5.47,0,0,0.55,0,0,1.64,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0
