stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,43.86,0,13.91,6.42,16.05,0,22.47,0,0,0,0,0,1.07,4.28,19.26,2.14,1474.17,0,0,0,257.82,149.77,0,25.67,1.07,0,38.51,22.47,1.07,0,0,0,0
21Day,21.42,6.69,1.34,226.21,2.68,72.28,0,20.08,0,0,36.14,0,10.71,1.34,4.02,58.9,12.05,1586.16,0,4.02,4.02,165.98,125.82,0,26.77,37.48,1.34,12.05,2.68,49.53,1.34,0,0,10.71
3Month,0.64,0.64,0.64,2.88,0,0,0.32,0,0.64,0,4.16,0.96,0,1.92,0,0.64,0.96,55.03,0.32,0.64,0.96,0.32,0,0,0,1.28,78.07,0,0,0,0,0.64,4.16,2.24
22Month,0,0,0,5.47,0,0,0,0,0.55,0.55,1.64,0.55,0,0,0,0,0.55,57.4,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0
