stage,Erythrocyte,Granulosa_cell,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,4.09,4.09,8.17,110.33,0
72hpf,0,0,0,0,0,0,1.07,1.07
21Day,1.34,0,0,0,0,1.34,0,0
22Month,0,0.55,0.55,0,0,0,0,0
