stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,20.43,0,0,89.9,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,1.07,3.21,0,4.28,3.21,0,2.14,0,0,0,0,1.07,0
21Day,0,0,8.03,0,0,0,1.34,2.68,2.68,13.39,5.35,8.03,4.02,1.34,8.03,2.68,0,2.68,0,0,0
3Month,0,0,0,0,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0.32,0,0,0,0.64
22Month,0,0.55,0,0,0,1.09,7.65,0.55,0.55,1.64,0,0,0,0,0.55,0,0,0,1.09,0,0
