stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,1.07,2.14,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,85.58,1.07,3.21,0,0,10.7,22.47,18.19,0,0,2.14,1.07,0,0,0
21Day,1.34,0,0,21.42,0,2.68,0,0,0,0,0,2.68,0,1.34,0,0,0,0,132.51,0,0,6.69,0,18.74,10.71,37.48,2.68,0,1.34,0,0,0,1.34
3Month,0,2.24,0.32,9.6,0,0,0.96,0.32,0,1.6,0,88.31,1.6,0,1.92,0.32,2.56,0.64,42.23,7.36,0,1.6,0.32,0.32,0.32,1.28,0.32,0.96,1.92,1.92,0.64,0.32,1.6
22Month,1.09,3.28,0,15.85,0,0,1.09,1.09,0.55,1.64,1.09,230.69,1.09,0,3.28,0,0.55,3.28,67.24,2.19,3.28,2.73,0.55,0,0,0,0,0.55,7.11,0.55,0,0,0
