stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,5.35,1.07,1.07,0,0,0,0,17.12,2.14,0,0,1.07,1.07,2.14,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,1.34,0,0,0,4.02,0,0,1.34,1.34,1.34,2.68,0,0,0,0
3Month,0,0.32,0.64,2.88,0,0.32,0.96,0,5.44,0.64,0,0.32,0.32,0.64,0.96,0.96,0.32,0.64,1.92,0,0,0,0.32,0,0.64,89.27,0,0.32,2.88,0.64
22Month,0,0.55,0.55,0.55,0,0,1.09,0.55,8.2,1.09,0.55,2.73,1.09,0.55,1.64,2.19,0,0,0.55,1.64,0,0.55,0.55,0,0,0.55,0,0,0,1.64
