stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,12.26,0,0,8.17,12.26,0,0,0,0,0,0
72hpf,32.09,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,7.49,3.21,1.07,0,0,0,0,0
21Day,25.43,1.34,0,1.34,4.02,0,0,0,1.34,0,0,1.34,1.34,2.68,9.37,0,5.35,6.69,2.68,1.34,4.02,1.34,0,0,2.68
3Month,0.64,0,0,3.2,0,0.32,0.64,4.48,0.32,0,1.28,0,0.32,0.32,0.96,0.32,0,0,0,0,0,8.96,0,49.91,0.64
22Month,3.83,0.55,1.09,0,0,0,0,3.83,0,1.09,0.55,0,0,0,0.55,0,0.55,0,0,0,0,3.83,0.55,1.09,0.55
