stage,Endothelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0
21Day,0,0,0,0,0,0,2.68,1.34,0,0
3Month,0,0,0.32,0,0,0,0,0,0.32,0
22Month,1.09,0.55,4.37,1.64,0,0.55,0.55,0,0.55,0.55
