stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,2.14,2.14,2.14,0,1.07,0,0,0,1.07,0,1.07,0,3.21,2.14,2.14,12.84,0,3.21,0,0,97.35,47.07,1.07,1.07,5.35,0,0,5.35,0,0,0,0,0
21Day,8.03,0,10.71,0,4.02,0,8.03,0,0,0,0,0,9.37,1.34,0,0,0,17.4,0,0,1.34,0,10.71,12.05,0,0,8.03,4.02,1.34,0,1.34,0,0,0,1.34
3Month,0.32,0.64,10.24,0.64,0,0.32,0.32,0.64,3.2,0,13.12,1.28,2.24,5.12,0.96,2.88,0.64,5.44,0.32,0,0.64,0.64,0.64,0.32,0.96,0.32,0,0.64,43.19,0.32,0,0.32,1.6,4.16,2.24
22Month,0,1.64,2.19,0,0,1.09,0.55,0,4.37,0.55,21.32,1.09,1.64,3.83,0,0,1.09,0.55,0,0.55,0,0,0,0,0,0,0.55,0,2.73,0,0,0,0,0,1.64
