stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,0,43.86,1.07,0,2.14,0,0,1.07,0,0,0,0
21Day,0,5.35,4.02,0,0,0,0,0,0,61.57,0,0,1.34,2.68,0,0,0,0,0,0
3Month,1.28,0.64,0,0.64,0,1.6,0,0.96,0.32,13.76,0,0,0,0,0.64,0,0.64,7.68,2.24,0
22Month,2.73,0,0,0.55,1.64,3.83,0.55,0.55,0,13.12,0.55,0.55,0,0,0,0,0,1.64,0,0.55
