stage,Epithelial_cell,Erythrocyte,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,0
72hpf,0,0,2.14,0,0
21Day,1.34,2.68,0,0,1.34
