stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,16.35,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,0,0,0,0,0,0,0,0,3.21,7.49,0,8.56,0,2.14,0,0,7.49,14.98,1.07,5.35,2.14,0,3.21,0,0,0,0
21Day,0,0,0,9.37,0,1.34,0,0,0,1.34,0,1.34,0,1.34,5.35,0,16.06,0,0,0,1.34,2.68,1.34,0,9.37,2.68,0,1.34,1.34,0,0,1.34
3Month,0.32,0.32,1.28,49.59,0.32,0.32,0.32,1.92,0,106.22,0.64,0,5.12,2.56,2.88,4.16,5.76,3.84,0.32,1.28,1.28,0.32,0,0,0,2.24,24.96,0,0,0.32,236.12,2.24
22Month,0,0.55,0.55,21.32,0,0,0,2.73,0.55,46.47,0.55,0.55,2.73,0,1.09,12.57,7.65,0,1.09,0.55,0,1.09,0,0,0,0,21.87,1.09,0,0.55,6.01,2.73
