stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,4.28,0,0,1.07,1.07,2.14,0,0,3.21,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,1.34,5.35,0,0,0,2.68,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0.96,5.12,0.32,8.64,0.96,0,2.56,1.28,0,53.11,0,0.32,0.32,1.6,0.64,0,11.84,0,0,0.32,0,0,0.64,1.92,0,0.32,0.32,0.64
22Month,0,0.55,6.56,1.64,0,11.48,1.64,0.55,20.77,0,0,95.12,0,0.55,0,0,0,0.55,8.2,0,0,0,0.55,0,1.09,0,0,0,0,0
