stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,8.17,4.09,0,4.09,4.09,4.09,8.17,8.17,4.09,1920.61,0,0,0
72hpf,1.07,0,1.07,0,0,1.07,0,0,18.19,63.12,0,3.21,110.19
21Day,0,1.34,0,0,0,1.34,0,0,0,2.68,1.34,0,9.37
