stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,5.35,10.7,0,2.14,0,0,0,0,0
21Day,1.34,0,2.68,1.34,4.02,0,0,0,0,0,4.02,0,0,13.39,0,1.34,5.35,0,4.02,0,0,1.34,0,4.02
3Month,0,0.32,2.88,0,0,0.32,0.32,0,1.6,0.32,0.64,0.32,0.96,1.28,0.32,0,0,0.32,0,0.32,7.36,0,9.92,0.64
22Month,0,0,0.55,0,0,0,0,0.55,1.64,0,0.55,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0.55
