stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,4.09,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,8.17,40.86,0,0,0,0,4.09,461.76,4.09,0,8.17,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,1.07,10.7,0,0,0,0,0,0,0,0,0,0,1.07,1.07,10.7,0,1.07,0,0,26.74,84.51,0,0,4.28,0,0,1.07,0,0,0,0
21Day,2.68,0,0,4.02,1.34,2.68,0,1.34,0,0,0,0,0,2.68,1.34,0,1.34,0,9.37,0,0,1.34,0,8.03,49.53,2.68,0,4.02,0,2.68,1.34,0,0,0,1.34
3Month,0,1.28,0.32,11.2,0,0,0.64,0.96,3.2,2.88,0,10.24,3.2,0.96,4.48,0.96,1.6,3.52,5.76,0.64,0,1.28,1.92,1.6,1.28,8,0,0,3.84,461.69,0,0.32,3.2,239.32,4.16
22Month,0,0,1.09,0,0,0,0.55,0.55,0,2.19,1.09,3.28,0,0,0,0,0.55,0,0.55,0,0,1.09,0,0,0,3.83,2.19,0.55,0,45.37,0,0,0,1.09,0.55
