stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,12.84,1.07,0,0,0,3.21,0,0,0,0,0,0
21Day,1.34,0,0,0,0,24.09,0,1.34,0,10.71,0,5.35,4.02,1.34,1.34,1.34,0,1.34,1.34,0,24.09
3Month,0,0.32,0.96,0.32,0.64,0,0,0.32,0.96,0.96,0,0,0,0,0,0,0.32,0,0,0.64,15.04
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19
