stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,7.49,1.07,1.07,0,0
3Month,0,0.32,0,0.32,0,0.32,0,30.4,0,0.32,1.28,0.32
22Month,0.55,0.55,9.84,0.55,0.55,0,0.55,0,0,0,0,0
