stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,1.07,7.49,0,0,0,0,0,2.14,0,0,19.26,1.07,0,0,0,5.35,11.77,0
21Day,1.34,1.34,0,5.35,1.34,2.68,0,0,1.34,0,2.68,0,6.69,0,1.34,1.34,0,26.77,80.31,1.34
3Month,0,0,0.64,0,0,3.84,0.32,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,21.32,0.55,0,0,0,0,1.09,0,0,0,0,1.09,0.55,0,0
