stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,1.34,0,0,0,0,0,2.68,0,0,13.39,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0,1.6,0.64,143.34,0,0.32,0,0.32,0.32,1.92,9.6,1.6,0,2.56,4.48,18.24,2.88,2.88,0.96,0,0.32,1.92,0.96,0.32,0.64,0,0,12.48,0,0,0.32,0.64,6.72,5.44
22Month,0,1.09,1.64,113.16,0.55,0,0.55,0,0,7.11,31.71,2.19,1.09,5.47,0,16.95,4.37,3.28,0.55,1.09,0,3.28,0.55,0,1.09,0.55,0.55,20.23,1.09,0,0.55,0,0,0
