stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,16.35,0,24.52,0,0,0,0,0,0,0,0,0,0,0,8.17,40.86,44.95,134.85,0,0,0,0,12.26,825.45,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,16.05,3.21,0,10.7,0,2.14,0,2.14,0,0,0,1.07,0,3.21,0,12.84,24.61,1.07,47.07,0,6.42,0,2.14,42.79,189.35,0,0,33.16,2.14,0,6.42,1.07,0,2.14,0,0,0
21Day,25.43,1.34,0,45.51,1.34,57.56,0,41.49,0,5.35,0,1.34,0,12.05,0,2.68,8.03,18.74,88.34,0,0,6.69,0,16.06,36.14,1.34,0,36.14,8.03,5.35,5.35,1.34,1.34,1.34,0,1.34,9.37
3Month,0,0.96,0.96,19.52,0,0,0.32,0.32,0.64,44.15,0,10.56,3.84,1.6,6.72,4.8,7.04,8.32,7.36,0.32,0,0.64,1.28,0.64,0.96,0.64,0,0.96,4.8,192.61,0,0,0,0,1.28,53.43,11.2
22Month,0,0.55,0,3.28,0,0,1.09,1.64,1.09,42.64,2.19,19.68,6.56,9.84,7.11,1.64,1.09,31.16,2.19,0,0.55,0.55,0,0.55,0.55,1.09,4.92,0,0.55,14.21,0,0.55,0,0,0,0,0.55
