stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,81.73,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,19.26,6.42,0,0,0,0,0,0,0,0,0,0,51.35,0,0,0,0,0,4.28,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,0,123.15,2.68,0,0,0,0,0,0,0,0,1.34,0,46.85,0,2.68,0,0,0,2.68,2.68,0,5.35,0,2.68,1.34,0,0,2.68
3Month,0,3.52,2.24,92.47,0,0.96,0.32,0.96,0.64,0.32,46.07,1.6,0.64,24,1.28,80.63,0.64,1.6,0,0.64,0.96,0.32,0,0.64,1.92,1.6,0,0,1.6,0.32,0.64
22Month,0,0,1.64,18.04,0,0.55,0,0.55,0,0,27.33,0.55,0,13.67,0,22.96,0,1.09,1.09,0.55,0,0,0,0,0,1.64,0,0,0,0,0
