stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,69.47,0,0,0,0,0,0,0,0,0,0,69.47,8.17,0,16.35,0,0,0,40.86,12.26,453.59,16.35,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,11.77,0,0,0,0,0,0,0,0,0,6.42,4.28,0,3.21,0,1.07,0,2.14,19.26,32.09,0,0,0,2.14,0,0,0,17.12,0,11.77,0,0,0
21Day,0,0,0,1.34,12.05,0,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,0,10.71,6.69,0,0,0,1.34,4.02,0,4.02,2.68,0,4.02,0,0,0
3Month,0.96,3.84,4.16,234.2,6.08,0.96,0.32,6.08,9.92,0.64,69.43,18.88,0.96,23.36,52.79,17.6,13.12,12.8,3.52,0.32,3.2,12.16,16.64,0.96,4.16,2.88,0,0.32,9.6,0.64,370.18,2.24,0,4.16,7.68,2669.02,11.52
22Month,0,1.09,1.09,151.97,4.92,0,0,1.09,3.28,0,36.63,2.73,1.09,5.47,12.03,1.09,2.73,12.57,0,1.09,3.28,3.83,7.65,1.09,1.09,1.09,3.83,0,0.55,0,119.72,3.28,0.55,3.28,0,12.03,1.09
