stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Spermatocyte
21Day,0,0,0,0,1.34,0,0,0,0,0
3Month,0.96,0,0.96,4.48,12.8,33.59,0.32,0,0.32,0.32
22Month,0,0.55,2.19,18.59,28.97,7.65,0,1.09,0,0
