stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,24.61,9.63,0,0,6.42,0,0,0,0,0
21Day,0,0,0,4.02,1.34,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,1.34,4.02,4.02,0,16.06,5.35,0,1.34,0,0,1.34,0,0,0
3Month,0.32,0.32,0.32,17.92,0,0,0,0.64,0.64,0,0,3.84,0.64,0.32,7.68,1.28,0.96,6.72,1.92,2.56,3.84,0.32,0,1.28,1.28,0,7.36,0,14.72,51.51,0.96
22Month,0,0.55,0,8.75,0,0.55,0,0,1.09,0.55,0,7.11,0,0,2.19,0,1.64,1.09,0.55,0.55,0,0.55,0,1.09,0.55,0,1.09,0,1.64,0,0
