stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Radial_glia
72hpf,1.07,0,0,0,0,0,0,0,1.07
21Day,0,2.68,0,1.34,0,1.34,2.68,0,0
3Month,0,0,0.32,0,0.32,0.32,0,0.32,0
