stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,20.43,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,20.33,0,0,0,2.14,2.14,0,0,23.54,1.07,0,0,1.07,0,0
21Day,0,0,0,4.02,1.34,1.34,0,0,0,1.34,0,1.34,0,0,1.34,20.08,0,0,0,8.03,0,0,0,12.05,0,0,0,0,0,1.34
3Month,0,2.24,0,3.2,0,0,0.32,1.28,0.32,4.48,1.6,0.64,1.28,2.56,2.88,24.96,0.64,1.6,0.96,0.32,0,0.64,0.64,3.52,0.64,3.84,0.96,0,1.92,3.2
22Month,0,1.64,0.55,1.64,0,0,0,1.64,2.19,18.59,1.09,1.09,3.28,0,1.64,8.2,0.55,1.09,0,0.55,0,0.55,0,1.09,0,0.55,1.09,0,0,1.64
