stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0,0,4.16,0,0.64,0.64,0,0,0,0
22Month,0,0,1.09,4.37,0.55,0.55,0.55,0,0,0,0.55
