stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,24.52,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,0,0,3.21,2.14,0,1.07,9.63,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,1.28,1.6,10.24,0.32,0.32,2.24,2.56,0.64,568.87,4.48,0.96,11.52,2.56,2.88,3.2,5.76,0.32,0.64,1.28,1.28,0.64,0,0.64,9.92,0.64,6.72,8.64,0,36.79,0.64,1.6,1.28
22Month,1.09,0,0.55,1.64,0.55,0,0,3.28,12.03,525.34,0,0,8.2,0,0,3.28,2.19,0,10.39,1.09,0,0,0,0.55,1.09,0,1.09,0,1.09,1.09,0,0,1.64
