stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,3.21,0,0,2.14,0,0,0
21Day,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,5.35,0,0,25.43,1.34,0,0,0,0,0,0
3Month,0,0.32,1.92,0,0.32,0.32,0.32,2.56,0.96,0,0.64,0.32,0.32,0,0.32,0.32,0,0.32,0.32,0,0.96,26.88,0.32
22Month,0,1.09,0.55,0,0,0,1.09,9.29,0,0,0,0,0.55,0.55,0,1.09,0,0,0.55,0,0,0,0
