stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,12.26,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,19.26,9.63,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,5.35,0,0,1.34,0
3Month,0,0,1.6,0.32,0.32,0.32,0.32,1.92,0.64,0.64,0.64,0,0.32,0,0.32,0,0,0.32,10.88,0,9.6
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0
