stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,32.09,1.07,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,21.42,2.68,0,0,1.34,0,1.34
3Month,0,0,0.64,0.32,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0.64,0.32
22Month,0.55,0.55,0,0.55,1.09,0.55,13.12,2.19,0,0.55,0.55,0,0,0.55,0,0,0.55,0
