stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,11.77,0
21Day,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0,0.32,0,0.64,0.64
22Month,0.55,0,0,1.64,0,0,0,0
