stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
21Day,0,1.34,0,0,0,0,0
3Month,0,1.28,0,0,0,0,0.64
22Month,0.55,0.55,0.55,0.55,0.55,1.09,0
