stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,8.17,4.09,8.17,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,1.07,1.07,8.56,3.21,2.14,0,0,0,0,0
21Day,1.34,0,8.03,1.34,5.35,1.34,0,0,0,4.02,0,8.03,1.34,5.35,0,0,0,4.02,2.68,1.34,5.35,0,1.34,1.34,2.68
3Month,0,0,0.96,0,0,0,0.64,1.6,5.12,0,3.84,0.96,0.64,0.32,0.32,0,0.32,0,0,0,0,4.8,0,3.2,0.96
22Month,0,0,0,0,0,0,0,0,6.56,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
