stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,20.08,5.35,0,1.34,0,0,1.34,28.11,2.68,0,0,1.34,0,4.02,1.34,0,0,4.02,0,0,2.68,2.68,1.34,0,10.71
3Month,0,0,0.32,12.8,0,0.96,0,0.64,3.84,1.28,2.24,0.96,4.16,1.6,0.32,0,0,0,0.64,0.32,0.32,0.64,0.32,0.32,0,0,0.64,16.96
22Month,0,0.55,0,4.37,0,0.55,0,1.64,8.2,2.19,0,0,0.55,0.55,1.64,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,13.67
