stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,83.44,0,0,0,0,0,0,0,3.21,0,0,10.7,0,1.07,0,0,0,0,9.63,3.21,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0
21Day,4.02,0,0,5.35,48.19,0,0,0,0,0,4.02,0,17.4,0,0,5.35,5.35,13.39,0,0,1.34,0,14.72,0,0,0,0,0,1.34,4.02,1.34,0,5.35,0,0,0,1.34
3Month,0.32,2.88,0.64,22.4,18.88,0.64,0.32,2.88,4.8,0,14.08,4.8,13.76,3.84,1.6,8.32,8.32,6.72,1.92,0,1.6,0.32,5.12,0,4.48,0.32,0,0.32,1.28,66.55,2.56,0,0,0.32,1.6,127.34,9.6
22Month,0.55,7.11,2.73,24.05,4.92,4.37,0,3.28,20.77,12.57,107.69,6.01,21.32,16.4,0.55,4.92,12.57,13.12,0.55,3.28,2.19,0,1.64,0.55,5.47,2.19,3.28,0.55,1.09,23.51,3.83,2.19,0,0.55,1.64,0,9.29
