stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,102.16,0,24.52,4.09,0,4.09,0,0,0,0,0,0,8.17,20.43,600.7,0,0,0,20.43,245.18,0,0,572.1,0,0,0,0,0,0,0,0,0
72hpf,80.23,21.4,0,23.54,8.56,8.56,1.07,1.07,0,0,0,0,4.28,47.07,3.21,508.15,0,1.07,9.63,81.3,52.42,0,1.07,1030.21,0,0,10.7,0,4.28,22.47,0,0,0
21Day,157.95,2.68,0,14.72,1.34,32.12,1.34,0,0,2.68,0,4.02,1.34,6.69,2.68,455.1,0,1.34,36.14,18.74,17.4,1.34,0,965.08,26.77,1.34,1.34,1.34,2.68,6.69,0,0,1.34
3Month,0.32,0,0.32,1.92,0,0,0,0.96,0,4.16,0.32,1.92,1.28,0.64,1.28,21.76,0.32,0,7.04,1.92,0.32,0,0,0,0.64,28.16,0.96,0,0,5.76,1.28,29.12,0.32
22Month,0,0,0,1.64,0,0,0,0,1.09,10.39,0,2.19,0.55,0,0,1.64,0,1.09,2.19,0.55,0,0,0,0,0.55,19.13,0,0,0,0,0,0,0.55
