stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,8.17,93.99,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,1.07,3.21,0,1.07,0,20.33,12.84,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,4.02,8.03,0,2.68,0,0,0,0,0,1.34,0,0,1.34,1.34,6.69,0,0,0,4.02,4.02,0,0,0,0,0,1.34,1.34,0,0,1.34
3Month,0,0.64,0.64,8.32,0,0.32,0.32,1.92,3.84,0,13.76,1.92,0.96,8.64,1.28,2.56,2.56,1.28,0.32,0.64,0.32,1.28,0,0.64,0.32,0,0.32,1.6,0.32,0,0.96,3.52,4.16
22Month,0,0.55,1.09,2.19,0,0,0.55,0,2.73,0.55,19.13,0,0,8.2,0,0.55,4.37,2.19,0,0.55,0,1.09,0,1.09,0,0,0,0.55,0.55,0,0,0,1.64
