stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
3Month,1.28,0,0.32,0,1.6,0.32,0.96,0,0.64,0.32,0,0,21.44,0.32,0,2.24
22Month,1.09,1.09,0,0.55,1.09,0,1.64,0.55,1.09,0,0,0,1.09,0,0,0
