stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,8.17,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,0,1.07,34.23,24.61,1.07,0,0,0,9.63,1.07,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,5.35,0,0,0,0,8.03,8.03,2.68,0,0,2.68,4.02,1.34,0,0,1.34
3Month,0.96,0.32,61.11,0,0,0.96,3.52,0,14.08,4.8,0.64,4.16,17.28,3.52,2.56,4.48,1.6,0,0.32,3.2,10.88,0.64,4.48,1.28,2.56,98.54,1.28,0.32,0.64,559.59,2.24
22Month,0.55,0,39.91,0,0.55,0.55,3.83,4.92,17.49,1.64,0,4.37,2.73,0,3.28,3.28,0,0.55,0,0,5.47,2.19,8.75,0,0.55,19.13,2.73,0,0,1.09,1.64
