stage,Erythrocyte,Goblet_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,4.09,0,0,0,0,4.09,4.09,0
72hpf,0,0,0,0,2.14,12.84,0,0
21Day,0,0,0,1.34,4.02,13.39,0,1.34
3Month,0,0,0.64,0,0,0,0,0
22Month,0,0.55,1.09,0,0,0,0,0
