stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,4.02,2.68,0,0,0
3Month,0.32,0.64,3.52,1.28,0,0,4.8,0.64,0.96,0.96,1.6,0.32,0,0.32,0,0,36.15,0.32,2.56,0
22Month,0,1.09,1.09,1.09,1.64,0.55,14.21,2.19,0.55,1.64,1.09,0,0,0,6.01,0,24.05,0,0,1.09
