stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,0,3.21,4.28,0,1.07,0,0,0,10.7,6.42,1.07,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,0,4.02,1.34,0,0,0,0,0,0,1.34,0,0,2.68,0,2.68,0,0,0,2.68,6.69,1.34,0,0,1.34,5.35,0,0,0,0,0
3Month,0,0.64,0.32,5.44,0,0.32,0.64,1.92,0,5.44,1.28,0.32,2.24,0.64,1.92,1.6,2.56,0.32,0.64,0.32,2.24,0.32,2.56,0.32,0,2.56,159.97,0.64,0,1.92,111.34,1.28
22Month,0,0,1.09,1.09,0,0,0,1.09,0,2.73,0,1.09,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,20.23,0.55,0,0,0,0
