stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,4.09,4.09,0,16.35,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,5.35,2.14,1.07,1.07,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,4.02,0,0
3Month,0,0.32,0,0.64,0.32,0,0,0,0,0,0,0.32,0.32
22Month,0,0,2.19,0,0,0.55,0,0,0,0,0,0,0
