stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,53.12,0,0,0,28.6,286.05,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,5.35,3.21,1.07,0,0,0,0,0,0,0,0,1.07,8.56,1.07,14.98,0,2.14,3.21,99.49,73.82,0,1.07,0,9.63,0,0,11.77,4.28,1.07,0,0,0
21Day,2.68,0,8.03,17.4,5.35,0,0,0,0,1.34,0,9.37,2.68,0,6.69,1.34,30.79,0,0,8.03,46.85,33.46,0,0,0,8.03,4.02,0,9.37,1.34,0,0,0,4.02
3Month,0,1.6,5.44,0,0.64,0.32,0.32,0.64,0,9.28,3.2,0.32,0.64,0.64,0.96,1.92,7.04,2.24,0,1.28,0.64,0.96,0.32,0.64,0,0.32,0,48.31,0,0,0,1.28,28.48,2.56
22Month,0,2.73,7.65,0,1.09,0,0,8.2,0.55,78.17,7.11,1.09,0.55,0.55,1.09,7.11,23.51,1.09,2.73,2.19,2.19,0,2.19,3.83,0.55,1.09,0,12.03,1.64,0,0,0,0.55,2.19
