stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,4.09,40.86,0,0,4.09,138.94,0,0,0,0,0
72hpf,2.14,1.07,5.35,0,0,0,0,0,0,0,4.28,0,4.28,0,1.07,11.77,10.7,0,6.42,0,0,0
21Day,0,1.34,17.4,0,0,0,0,0,0,0,1.34,1.34,5.35,0,0,1.34,4.02,0,1.34,1.34,0,1.34
3Month,0,0.32,1.28,0,0.64,0,1.28,0.32,0.32,0.32,0.64,0.96,0.64,0.32,0,0,0,0.32,0,0,1.6,0.32
22Month,0,1.09,1.09,0.55,0,6.01,11.48,0,0.55,1.09,0,1.64,0,0,0,0,0,0,0,0,1.09,0
