stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,0,0,16.35,4.09,44.95,0,0,8.17,351.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,3.21,0,0,0,0,0,0,1.07,4.28,0,25.67,0,1.07,63.12,6.42,0,1.07,24.61,0,0,1.07,3.21,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,0,1.34,0,1.34,0,5.35,0,1.34,42.83,2.68,1.34,2.68,1.34,0,0,2.68,0,0,0
3Month,0,0.32,0.32,9.92,0,0,6.72,0,6.72,0.32,1.6,0.32,14.08,1.28,3.84,0.32,6.08,0,0,0,0,0.32,0.64,0.96,0,0,1.92,1.28
22Month,0.55,1.64,0,2.73,0,0.55,2.19,2.19,12.57,1.09,2.73,0,0.55,0.55,7.11,0,7.65,0.55,1.64,0,0,1.09,0,4.37,0.55,0,0,0
