stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,12.26,81.73,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,14.98,1.07,2.14,0,0,0,0,0,0,0,0,0,2.14,11.77,0,12.84,0,1.07,0,5.35,9.63,0,0,8.56,0,0,2.14,0,0,2.14,0,0,0
21Day,2.68,2.68,33.46,0,13.39,0,16.06,0,0,0,0,0,1.34,0,0,12.05,1.34,44.17,0,8.03,0,6.69,6.69,1.34,0,13.39,6.69,0,6.69,0,1.34,2.68,0,0,0
3Month,0,5.12,54.39,0.64,0,1.28,2.56,0.64,2.56,0,11.2,1.92,0.64,0.96,0.64,37.75,9.92,27.2,5.44,2.88,0.64,0.32,0.64,1.28,0.32,0,0.96,9.92,2.88,0,0,0.64,6.72,3.52,0.96
22Month,0,2.73,14.21,0.55,0,1.09,1.09,0.55,2.73,19.13,27.33,0,2.73,1.64,0,7.11,12.57,24.05,0,0.55,0.55,0.55,0.55,1.09,0,0.55,0,1.64,2.73,0.55,0,0,0,0,0.55
